Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days)
15,3,17,2.43,"15,737.68","16,023.20",214.75,33.51,43.82,1.27,1143,293,850,25.63,1.78,0.53,21.03,9.23,-3.63,-3.63,0.96,0.30
15,3,14,2.55,"14,545.72","14,861.20",190.91,30.89,43.82,1.19,1197,341,856,28.49,1.69,0.52,17.27,6.94,-4.45,-4.45,0.96,0.29
20,3,13,2.47,"14,081.60","14,259.60",181.63,29.82,43.21,1.14,1160,349,811,30.09,1.69,0.52,16.69,7.17,-4.16,-4.16,0.96,0.30
20,3,14,2.44,"14,370.20","14,636.96",187.40,30.49,43.21,1.16,1145,329,816,28.73,1.71,0.52,17.68,7.44,-4.10,-4.10,0.96,0.30
20,3,15,2.39,"14,556.24","14,768.00",191.12,30.91,43.21,1.20,1124,309,815,27.49,1.72,0.52,18.61,8.10,-3.82,-3.82,0.96,0.30
20,3,17,2.32,"15,282.16","15,635.20",205.64,32.53,43.21,1.25,1091,280,811,25.66,1.78,0.52,21.09,7.37,-4.41,-4.41,0.96,0.31
15,3,15,2.50,"14,775.52","15,036.00",195.51,31.41,43.82,1.22,1177,321,856,27.27,1.70,0.52,18.23,7.56,-4.16,-4.16,0.96,0.29
15,3,18,2.40,"15,241.28","15,571.68",204.83,32.44,43.82,1.29,1128,272,856,24.11,1.74,0.51,20.75,9.95,-3.26,-3.26,0.96,0.30
30,3,17,2.22,"14,729.20","15,049.76",194.58,31.30,43.59,1.23,1045,267,778,25.55,1.77,0.51,20.87,7.96,-3.93,-3.93,0.96,0.32
20,3,12,2.51,"13,586.80","13,621.04",171.74,28.66,43.21,1.11,1180,370,810,31.36,1.65,0.51,15.33,7.29,-3.93,-3.93,0.96,0.30
